_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;location
507;Lycée Professionnel La Chauvinière;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;2 Rue de la Fantaisie;02 40 16 71 35;;44300;[ 47.2524955193136 , -1.57162920806731]
508;Maternelle La Chauvinière;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;32 Boulevard de la Chauvinière;02 40 76 60 76;;44300;[ 47.2529142210335 , -1.57397108669]
509;Lycée Gaspard Monge;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;2 Rue de la Fantaisie;02 40 16 71 00;;44300;[ 47.2541944833231 , -1.57325271873319]
510;Elémentaire George Sand;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;83 Rue des Renards;02 40 76 59 61;;44300;[ 47.2592130387613 , -1.56927623879586]
511;Maternelle Camille Claudel;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;83 Rue des Renards;02 40 76 10 75;;44300;[ 47.2583308306106 , -1.56922820654123]
512;Lycée Professionnel Etablissement Régional enseignement Adapté;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;10 Boulevard Albert Einstein;02 40 76 40 05;;44300;[ 47.26112824581 , -1.56071420550939]
513;Collège Stendhal;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;88 Rue des Renards;02 51 83 71 00;;44300;[ 47.261197542487 , -1.56993996433992]
514;Maternelle Georges Brassens;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;19 Rue Eugène Thomas;02 40 76 10 12;;44300;[ 47.2620009973366 , -1.57122290073319]
515;Institut National Recherche Agronomique;5;ENSEIGNEMENT;508;Centre de recherche;;;Public;NANTES;63 Rue de la Geraudiere;02 40 67 50 00;www.nantes.inra.fr;44300;[ 47.2642184079554 , -1.56647273059533]
519;Primaire Françoise Dolto;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;11 Rue de Concarneau;02 40 40 68 97;;44300;[ 47.2654921343449 , -1.57992088403673]
521;Maternelle Elémentaire Notre Dame de Lourdes;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;3 Rue Jean Baptiste Olivaux;02 40 94 44 35;;44300;[ 47.2513108560277 , -1.57563818991349]
523;Maternelle Côte d'Or;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;3 Avenue Castellano;02 40 40 81 90;;44300;[ 47.2472158491507 , -1.57286136148216]
525;Collège Hector Berlioz;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;122 Boulevard Robert Schuman;02 40 16 03 70;;44300;[ 47.2404620425718 , -1.57174102019976]
526;Ecole Nationale Supérieure d'Architecture de Nantes;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;6 Quai François Mitterrand;02 40 16 01 21;ensanantes.fr;44200;[ 47.207060203316 , -1.55740687309691]
527;Lycée La Perverie;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;63 Rue de la Perverie;02 40 14 53 70;perverie.free.fr;44300;[ 47.2421855701218 , -1.56280450109139]
529;Maternelle Georges Lafont;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;56 Rue Georges Lafont;02 40 76 85 84;;44300;[ 47.2376936089724 , -1.58275641116588]
531;Maternelle Elémentaire Sainte Thérèse;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;11 Rue de la Papotière;02 40 49 53 89;;44300;[ 47.2368567191976 , -1.50252000559933]
532;Maternelle Maurice Macé;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;22 Rue du Pontereau;02 40 50 20 60;;44300;[ 47.2369045337355 , -1.50416744022423]
534;Lycée La Colinière;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;129 Rue du Landreau;02 40 93 93 33;perso.wanadoo.fr/lycee.lacoliniere;44300;[ 47.2361682369138 , -1.51305666161693]
535;Collège La Colinière;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;129 Rue du Landreau;02 40 93 93 33;;44300;[ 47.2348556039066 , -1.51417665665173]
536;Elémentaire Ange Guépin;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;4 Rue de la Révolution des Oeillets;02 40 49 01 46;www.nantes.fr;44000;[ 47.2176082410212 , -1.5191304391889]
537;Maternelle Jean Moulin;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;5 Rue de Chypre;02 40 89 69 98;;44000;[ 47.2157162684779 , -1.52332715156405]
539;Maternelle Henri Bergson;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;5 Rue de Madrid;02 40 89 66 83;www.nantes.fr;44000;[ 47.2141858427228 , -1.53136654985139]
540;Collège Sophie Germain;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;19 Mail Pablo Picasso;02  4047 88 19;;44000;[ 47.2149220009438 , -1.53598182734332]
541;Maternelle Elémentaire Notre Dame de Toutes Aides;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;8 Rue Denis Papin;02 40 49 70 19;ndtaides.free.fr;44000;[ 47.2232814443904 , -1.52176242998019]
542;Maternelle Louis Guiotton;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;5 Rue Champenois;02 40 49 42 10;;44000;[ 47.2255957685757 , -1.52741035728538]
543;Elémentaire Champenois;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;8 Rue Champenois;02 40 49 37 66;;44000;[ 47.2256367941699 , -1.52639844649917]
544;Primaire Gay-Lussac;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;13 Rue Corentin Bourveau;02 40 52 12 73;;44300;[ 47.2277917634535 , -1.52164170182531]
545;Maternelle Elémentaire Notre Dame de Toutes Aides;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;33 Boulevard Louis Millet;02 40 49 04 52;ndtaides.free.fr/louismillet;44300;[ 47.2275066087489 , -1.51928617141244]
546;Lycée Notre Dame de Toutes Aides;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;33 Boulevard Louis Millet;02 40 49 37 93;www.multimania.com/ndtoutesaides;44300;[ 47.2283759657465 , -1.51886212094555]
547;Lycée de Bretagne;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;15 Rue du Landreau;02 40 49 21 57;;44300;[ 47.2325553344221 , -1.52049010083744]
549;Maternelle Bottière;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;14 Rue de la Bottière;02 40 49 57 04;;44300;[ 47.2372906949286 , -1.52215738261774]
550;Pôle des Arts Graphiques - Ecole des Métiers de l'Imprimerie;5;ENSEIGNEMENT;507;Centre de formation;;;Privé;NANTES;1 Place Albert Camus;02 40 50 24 22;www.ecole-metiers-imprimerie.fr;44200;[ 47.2055597895866 , -1.5622702482117]
551;Maternelle Agenêts;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;31 Rue des Agenets;02 40 93 18 02;;44000;[ 47.22775600044 , -1.53124906553749]
553;Maternelle Docteur Teillais;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;21 Rue Docteur Teillais;02 40 49 60 56;;44300;[ 47.2346857629739 , -1.53302205687295]
554;Elémentaire François Dallet;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;148 Boulevard des Poilus;02 40 49 53 26;;44300;[ 47.2338154250183 , -1.53358100424571]
555;Elémentaire Don Bosco;5;ENSEIGNEMENT;502;Elémentaire;;;Privé;NANTES;9 Rue du Moulin des Carmes;02 40 49 79 27;;44300;[ 47.2382705679142 , -1.53368550960205]
556;Collège Blanche de Castille;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;45 Boulevard Jules Verne;02 40 52 54 60;www.blanchedecastille.com;44300;[ 47.2369665531146 , -1.53481070737766]
557;Lycée Blanche de Castille;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;45 Boulevard Jules Verne;02 40 52 54 60;www.blanchedecastille.com;44300;[ 47.2368166310224 , -1.53536215108221]
558;Maternelle Elémentaire Saint Joseph;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;63B Rue d'Allonville;02 40 74 64 73;;44000;[ 47.2224606991267 , -1.5340966471082]
559;Maternelle Stalingrad;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;6 Allée du Bourg Fumé;02 40 74 30 01;;44000;[ 47.2196799664237 , -1.53788253207018]
560;Lycée Georges Clemenceau;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;1 Rue Georges Clemenceau;02 51 81 86 10;;44000;[ 47.2189135151105 , -1.54516128099594]
561;Maternelle Elémentaire Sainte Marie;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;9 Avenue Bascher;02 40 74 02 38;;44000;[ 47.2225081414702 , -1.54586374480507]
562;Institut Universitaire de Technologie (IUT) GEA/informatique;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;3 Rue Maréchal Joffre;02 40 30 60 90;www.iut-nantes.univ-nantes.fr;44000;[ 47.2231220333011 , -1.5454574523612]
564;Ecole de Notariat;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;119 Rue de Coulmiers;02 40 74 08 76;www.notaires.fr;44000;[ 47.2255301745875 , -1.54145628766822]
565;Lycée Eugène Livet;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;16 Rue Dufour;02 51 81 23 23;;44000;[ 47.2249910114744 , -1.54617187882003]
567;Maternelle Sully;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;8 Allée de la Reine Margot;02 51 86 43 03;;44000;[ 47.2227747170009 , -1.54964957460939]
568;Collège Saint Jean Baptiste de la Salle;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;136 Rue Général Buat;02 51 86 06 10;;44000;[ 47.2277458511241 , -1.5421971926295]
570;Primaire Saint Donatien;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;61B Rue du Coudray;02 40 74 36 48;;44000;[ 47.2303019028724 , -1.54382085889279]
571;Lycée Professionnel Saint Donatien , Immaculée;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;6 Rue Guillet de la Brosse;02 40 74 50 48;;44000;[ 47.2298467036494 , -1.5437245089925]
572;Maternelle Coudray;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;2 Rue Pierre Benoit;02 40 49 77 10;;44000;[ 47.2341625203016 , -1.5432566812029]
573;Elémentaire Coudray;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;20 Rue du Coudray;02 40 49 43 35;;44000;[ 47.2332357110773 , -1.54338305920416]
575;Elémentaire Emile Péhant;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;24 Rue Emile Péhant;02 40 47 90 23;www.ecoles.mairie-nantes.fr;44000;[ 47.2125926608273 , -1.54837185848601]
576;Maternelle Emile Péhant;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;21 Rue Emile Péhant;02 40 47 64 15;;44000;[ 47.2116029748848 , -1.54898432263239]
578;Faculté de Médecine et de Pharmacie;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;1 Rue Gaston Veil;02 40 41 28 28;www.sante.univ-nantes.fr;44000;[ 47.2112535316341 , -1.55539323785025]
579;Maternelle Molière;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;2 Rue du Cheval Blanc;02 40 47 51 02;;44000;[ 47.2174290022262 , -1.55577902724396]
580;Elémentaire Léon Blum;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;5 Rue Léon Blum;02 40 47 43 63;;44000;[ 47.2189732470659 , -1.55613565228919]
581;Centre National Fonction Publique Territoriale;5;ENSEIGNEMENT;507;Centre de formation;;;Public;NANTES;29 Boulevard Albert Einstein;02 40 89 35 97;www.cnfpt.fr;44300;[ 47.2633977743024 , -1.57030791192017]
582;Ecole Supérieure des Beaux-Arts de Nantes Métropole;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;5 Rue Fénelon;02 40 35 90 20;www.esba-nantes.fr;44000;[ 47.2168026880714 , -1.55392954963965]
585;Lycée Saint Stanislas;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;2 Rue Saint Stanislas;02 40 20 17 50;www.oceanet.fr/Associations/ststanislas;44000;[ 47.2235930680219 , -1.55603014666437]
587;Maternelle Fellonneau;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;15 Rue Fellonneau;02 40 74 22 59;;44000;[ 47.2315852967394 , -1.55505196911441]
588;Maternelle Elémentaire Saint Félix;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;2 Rue Soubzmain;02 40 74 12 97;;44000;[ 47.2319429012538 , -1.55816916439708]
589;Lycée Technique Saint Jean Baptiste de la Salle;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;14 Rue du Ballet;02 40 74 78 31;lt-delasalle.fr;44000;[ 47.2320647116796 , -1.55948766072506]
591;Lycée Saint Félix;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;27 Rue du Ballet;02 40 14 50 50;www.oceanet.fr/Entreprises/feliweb;44000;[ 47.2316433015121 , -1.56049988203358]
592;Primaire Villa Maria;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;12 Rue Villa Maria;02 40 29 03 29;;44000;[ 47.2307812854358 , -1.56149030045079]
593;Primaire Charles Lebourg;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;5 Rue Charles Lebourg;02 40 74 05 39;;44300;[ 47.2339544576453 , -1.56063543918018]
594;Lycée Professionnel Michelet;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;41 Boulevard Michelet;02 40 74 95 31;;44300;[ 47.2357585364338 , -1.55784644274806]
597;Centre National Recherche Scientifique;5;ENSEIGNEMENT;508;Centre de recherche;;;Public;NANTES;38 Boulevard Michelet;02 51 81 05 75;www.cnrs.fr;44300;[ 47.2355482846872 , -1.55521978005962]
599;Faculté des Sciences et des Techniques;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;2 Chemin de la Houssinière;02 51 12 52 12;www.sciences.univ-nantes.fr;44300;[ 47.23792477279 , -1.55433205339395]
600;Collège Saint Joseph du Loquidy;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;73 Boulevard Michelet;02 40 74 03 12;;44300;[ 47.2362139141037 , -1.55720383394619]
601;Maternelle Léon Say;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;44 Rue Léon Say;02 40 76 88 05;;44000;[ 47.2295153425123 , -1.57078298790856]
602;Maternelle Elémentaire Jean XXIII;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;25 Rue Alphonse Daudet;02 40 74 48 24;;44000;[ 47.2274665734139 , -1.56566580194517]
603;Collège Saint Similien de Monfort;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;26B Rue des Hauts Pavés;02 40 20 35 81;;44000;[ 47.2238001196443 , -1.56327403407358]
604;Primaire Rue Noire;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;45 Rue Noire;02 40 74 21 88;;44000;[ 47.2248604215664 , -1.56396307017681]
606;Collège Victor Hugo;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;40 Rue de Bel Air;02 40 20 17 20;;44000;[ 47.2233017064632 , -1.55884037423767]
607;Lycée TechniqueTalensac;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;18 Rue de Talensac;02 51 72 95 10;;44000;[ 47.2220045402852 , -1.5588698245193]
608;Maternelle Frédureau;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;2 Rue Frédureau;02 40 20 17 43;;44000;[ 47.2211004519618 , -1.56127545950482]
609;Elémentaire Jean Jaurès;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;11 Rue Jean Jaurès;02 40 20 38 92;;44000;[ 47.2193832189496 , -1.55999903978992]
611;Collège Sainte Catherine de Sienne hors contrat;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;32 Rue de la Bastille;02 40 20 22 01;;44000;[ 47.2190363251207 , -1.56640851345112]
614;Maternelle Elémentaire Saint Nicolas;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;5 Rue Dugommier;02 40 48 73 09;;44000;[ 47.2159927724657 , -1.56244693738169]
615;Collège Notre Dame du Bon Conseil;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;17 Rue du Chapeau Rouge;02 40 48 25 36;;44000;[ 47.2150070114804 , -1.56171879504202]
616;Maternelle Chêne d'Aron;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;4 Rue du Chêne d'Aron;02 40 48 70 68;;44000;[ 47.2119864084826 , -1.56057006908489]
617;Lycée Jules Verne;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;1 Rue Général Meusnier;02 40 12 27 12;;44000;[ 47.2173060276682 , -1.56165967788821]
618;Collège Jules Verne;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;1 Rue Général Meusnier;02 40 12 27 12;;44000;[ 47.2173919753679 , -1.56144860757936]
619;Ecole Nationale Supérieure Maritime;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;38 Rue Gabriel Péri;02 40 71 01 80;www.supmaritime.fr/les-sites-ensm/nantes.html;44100;[ 47.2073895918303 , -1.57539105613052]
621;Elémentaire André Lermite;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;1 Rue Evariste Luminais;02 40 69 85 14;www.ecoles.mairie-nantes.fr;44100;[ 47.2121479909183 , -1.57088675619118]
622;Maternelle Elémentaire Notre Dame de Bon Port;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;25 Rue de la Rosière d'Artois;02 40 69 33 27;;44100;[ 47.2134523601303 , -1.5674183475659]
623;Maternelle Boccage;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;44 Rue Marie Anne du Boccage;02 40 69 17 43;;44000;[ 47.2149098693289 , -1.57270364706781]
624;Elémentaire Boccage;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;22B Rue Marie Anne du Boccage;02 40 73 38 85;;44000;[ 47.2156338318123 , -1.57071970058403]
625;Maternelle Elémentaire Saint Michel;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;15 Rue Marie Anne du Boccage;02 40 73 29 35;;44000;[ 47.2149136548051 , -1.57031271786342]
626;Lycée Gabriel Guist'hau;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;3 Rue Marie Anne du Boccage;02 51 84 82 23;ecole.wanadoo.fr/lycee.guisthau;44000;[ 47.2161776212199 , -1.56881548785458]
627;Collège Gabriel Guist'hau;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;3 Rue Marie Anne du Boccage;02 51 84 82 24;;44000;[ 47.2162995465178 , -1.56850526814371]
628;Lycée Françoise d'Amboise Chavagnes;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;11 Rue Mondésir;02 51 84 91 30;http://www.chavagnes.com/;44000;[ 47.2176605386871 , -1.56995775586302]
631;Lycée Externat des Enfants Nantais;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;31 Avenue Camus;02 40 20 00 60;;44000;[ 47.218779484162 , -1.57247589544074]
632;Collège Externat des Enfants Nantais;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;31 Avenue Camus;02 40 20 00 60;;44000;[ 47.2189415463442 , -1.57279377912808]
635;Maternelle Elémentaire Notre Dame de Toutes Joies;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;42 Boulevard Albert Thomas;02 40 76 95 15;;44000;[ 47.2236040638349 , -1.57662166065274]
636;Collège Gaston Serpette;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;12 Rue Docteur Rappin;02 40 76 57 85;;44000;[ 47.2269233347966 , -1.57663355561351]
637;Maternelle Plantes;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;19 Rue des Plantes;02 40 40 81 68;;44100;[ 47.2339419127458 , -1.58339904029574]
638;Primaire Sainte Agnès;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;51 Rue Chanoine Larose;02 51 83 65 55;ecolesainteagnes1.free.fr;44100;[ 47.2319498539504 , -1.5789749226999]
639;Collège Théophane Vénard;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;55 Rue Chanoine Larose;02 51 83 65 55;tvenard.loire-atlantique.e-lyco.fr;44100;[ 47.2324355582589 , -1.57904233810268]
640;Maternelle Jacques Prévert;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;38 Rue du Breil;02 40 40 20 85;;44100;[ 47.2300045765266 , -1.58333959113466]
641;Elémentaire Jacques Prévert;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;38 Rue du Breil;02 40 76 41 52;;44100;[ 47.2297548043657 , -1.58409482983182]
648;Elémentaire Mulotière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;16 Rue Pierre Yvernogeau;02 40 76 49 65;www.nantes.fr;44300;[ 47.2420388161765 , -1.56994562842241]
649;Lycée Professionnelle de la Coiffure Pierre Masson;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;14 Rue d'Alger;02 40 71 06 52;;44100;[ 47.2104679135753 , -1.56790531303718]
650;Lycée Professionnel Talensac;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;18 Rue de Talensac;;;44000;[ 47.2219853921852 , -1.55863151478325]
651;Lycée Professionnel François Arago;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;23 Rue Recteur Schmitt;02 40 74 25 10;;44300;[ 47.2507257576709 , -1.55260468479964]
667;Institut de l'Homme et de la Technologie Atlantech;5;ENSEIGNEMENT;508;Centre de recherche;;;Public;NANTES;5 Rue Christian Pauc;02 51 85 74 00;www.iht.atlantech.fr;44300;[ 47.2835785361698 , -1.51599700597962]
681;Collège La Noë Lambert;5;ENSEIGNEMENT;504;Collège;;;Public;NANTES;42 Boulevard des Poilus;02 40 49 46 42;lanoelambert.loire-atlantique.e-lyco.fr;44300;[ 47.2318271293162 , -1.526984779768]
682;Lycée Professionnel Les Bourdonnières;5;ENSEIGNEMENT;505;Lycée;;;Public;NANTES;6 Rue de la Perrière;02 40 34 02 60;bourdonnieres.paysdelaloire.e-lyco.fr;44200;[ 47.185268405608 , -1.51811786887319]
683;Lycée Notre Dame de l'Abbaye;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;38B Rue de l'Abbaye;02 40 58 67 83;;44100;[ 47.2008725399245 , -1.59578041472357]
684;Collège Notre Dame de l'Abbaye;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;38B Rue de l'Abbaye;02 40 58 67 83;;44100;[ 47.2004725619815 , -1.59563711428482]
686;Maternelle Elémentaire Diwan Bro Naoned;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;164 Rue du Corps de Garde;02 40 29 04 15;;44100;[ 47.2196280223231 , -1.60208521828833]
690;Ecole des Mines;5;ENSEIGNEMENT;506;Supérieur;;;Public;NANTES;4 Rue Alfred Kastler;02 51 85 81 00;www.emn.fr;44300;[ 47.2824239558764 , -1.52088126242297]
749;Ecole Nantaise de Commerce;5;ENSEIGNEMENT;506;Supérieur;;;Privé;NANTES;6 Rue Crébillon;02 40 48 40 24;www.enacom.fr;44000;[ 47.2140903824872 , -1.55976094440709]
752;Lycée Saint Joseph du Loquidy;5;ENSEIGNEMENT;505;Lycée;;;Privé;NANTES;73 Boulevard Michelet;02 40 74 03 12;perso.wanadoo.fr/loquidy;44300;[ 47.2366410919951 , -1.55719088916906]
1142;Maternelle Lamoricière;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;14 Rue Lamoricière;02 40 73 95 47;;44100;[ 47.2124969044499 , -1.57125379595902]
1153;Elémentaire Alain Fournier;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;87 Rue du Bois Hardy;02 40 46 28 53;;44100;[ 47.2040831661045 , -1.60104653207571]
1154;Elémentaire Agenêts;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;31 Rue des Agenets;02 51 13 20 80;;44000;[ 47.2280026698464 , -1.53078257512124]
1156;Maternelle Barberie;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;25 Avenue de Tahiti;02 40 59 03 07;www.nantes.fr;44300;[ 47.2439527668333 , -1.57122696915566]
1157;Elémentaire Batignolles;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;45 Route de Paris;02 40 49 51 89;;44300;[ 47.2525680464208 , -1.51854629292692]
1158;Elémentaire Beaujoire;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;10 Avenue de la Gare de Saint Joseph;02 40 50 57 13;;44300;[ 47.2578749670883 , -1.51946479932758]
1159;Maternelle Elémentaire Blanche de Castille;5;ENSEIGNEMENT;503;Primaire;;;Privé;NANTES;45 Boulevard Jules Verne;02 40 49 62 56;;44300;[ 47.2366864802485 , -1.53431873318368]
1160;Elémentaire Bottière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;10 Rue de la Bottière;02 40 49 32 77;;44300;[ 47.237384320653 , -1.52282878634449]
1161;Collège de Bretagne;5;ENSEIGNEMENT;504;Collège;;;Privé;NANTES;15 Rue du Landreau;02 40 49 21 57;;44300;[ 47.2327444345181 , -1.52031623063453]
1163;Elémentaire Châtaigniers;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;164 Rue du Corps de Garde;02 40 46 31 05;;44100;[ 47.2197827467309 , -1.60215424741396]
1164;Elémentaire La Chauvinière;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;32 Boulevard de la Chauvinière;02 40 59 03 79;www.ecoles.mairie-nantes.fr;44300;[ 47.2534657207306 , -1.5741540179739]
1165;Elémentaire Chêne d'Aron;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;3 Rue de l'Héronnière;02 40 73 33 00;www.ecoles.mairie-nantes.fr;44000;[ 47.2122537316794 , -1.56120934356108]
1166;Primaire Jacques Tati;5;ENSEIGNEMENT;503;Primaire;;;Public;NANTES;1 Rue d'Ascain;02 40 34 54 18;www.ecoles.mairie-nantes.fr;44200;[ 47.1949063112794 , -1.52653721910085]
1167;Elémentaire Contrie;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;19 Rue de la Petite Reine;02 40 46 49 88;;44100;[ 47.2157765065179 , -1.60007371323462]
1168;Elémentaire Dervallières Chézine;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;1 Rue Auguste Lepère;02 40 46 03 83;www.ecoles.mairie-nantes.fr;44100;[ 47.2265615691657 , -1.59788809169881]
1171;Elémentaire Fellonneau;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;15 Rue Fellonneau;02 40 74 04 72;;44000;[ 47.2321547084807 , -1.55472895556893]
1172;Elémentaire Gustave Roch;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;24 Boulevard Gustave Roch;02 40 47 93 38;www.ecoles.mairie-nantes.fr;44200;[ 47.2051770968525 , -1.55068221653032]
1173;Maternelle Gaston Serpette;5;ENSEIGNEMENT;501;Maternelle;;;Public;NANTES;23 Rue Edmond Biré;02 40 76 07 11;;44000;[ 47.228014322276 , -1.57642179277179]
1174;Elémentaire Gaston Serpette;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;46 Rue du Douet Garnier;02 40 76 74 04;www.ecoles.mairie-nantes.fr;44000;[ 47.2265457508509 , -1.57693913628893]
1176;Elémentaire Sully;5;ENSEIGNEMENT;502;Elémentaire;;;Public;NANTES;7 Rue Henri Cochard;02 51 86 44 96;;44000;[ 47.2229245149311 , -1.54916281897426]
